Country,Indicator,latest_value
Monaco,"Labour Force Participation Rate, female",39.51
Monaco,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",12.92
Monaco,Access to clean fuels and technologies for cooking (% of population),100.0
Monaco,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",82781457.0
Monaco,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Monaco,Access to electricity (% of population),100.0
Monaco,"Access to internet, percent of population",86.1
Monaco,Share of Parliament Seats Held by Women,33.33
Monaco,Climate Change Readiness Score,0.75
Monaco,Refugee population by country or territory of asylum,17.0
Monaco,Voice and Accountability Index,0.71
Monaco,Government Response Stringency Index,21.4
Monaco,"Rule of Law Index, percentile rank",77.93
Monaco,Consumption of controlled substance (zero-filled) - Chemical: Total,0.01
Monaco,"Population Using at least Basic Sanitation Services, urban, percent",100.0
Monaco,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.01
Monaco,"Access to electricity, rural (% of rural population)",100.0
Monaco,"Population Using at least Basic Drinking-Water Services, urban, percent",100.0
Mongolia,Strength of legal rights index (0=weak to 12=strong),9.0
Mongolia,"Informal employment by sex and economic activity (thousands), Male, Agriculture",174.94
Mongolia,"Informal employment by sex and economic activity (thousands), Male, Non-agriculture",138.42
Mongolia,"Forest Area within Legally Established Protected Areas, percentage of total forest area",20.99
Mongolia,"Internet users, total (% of population)",84.33
Mongolia,"Share of Informal employment by sex and status in employment (%), Male, Self-employed",85.8
Mongolia,"International Migrant Stock at Mid-Year, total",21345.0
Mongolia,"Rule of Law Index, percentile rank",46.15
Mongolia,"Employment outside the Formal Sector by sex (thousands), Female",351.48
Mongolia,"Estimates of Informal Output, percentage of official gross domestic product (GDP)",15.42
Mongolia,"Employment in services, % of total employment",54.82
Mongolia,"Informal employment by sex and status in employment (thousands), Female, Employees",41.46
Mongolia,"Informal employment by sex and age (thousands), Female, 25 and above",213.86
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Agriculture",174.66
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Employees",280.94
Mongolia,"Informal employment age (thousands), 15-24",51.29
Mongolia,"Freshwater withdrawal, proportion of available freshwater resources",3.4
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Male, 25 and above",56.3
Mongolia,"Informal employment by sex and economic activity (thousands), Female, Agriculture",134.19
Mongolia,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),0.56
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Employees",47.4
Mongolia,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Not classified",9.66
Mongolia,"Share of Informal employment age (%), 15 and above",44.3
Mongolia,"Informal employment by age (thousands), 25 and above",491.92
Mongolia,"Informal employment by sex and age (thousands), Female, 15 and above",229.86
Mongolia,Climate Change Readiness Ranking,73.0
Mongolia,"Share of Informal employment by age (%), 25 and above",43.8
Mongolia,"Population Using at least Basic Drinking-Water Services, total, percent",83.51
Mongolia,"Share of Employment outside the Formal Sector by economic activity (%), Agriculture",96.7
Mongolia,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",41.1
Mongolia,"Labour Force Participation Rate, female",53.48
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Self-employed",178.44
Mongolia,"Population Using at least Basic Drinking-Water Services, urban, percent",94.23
Mongolia,Inequality in income,19.19
Mongolia,Gender Development Index,1.03
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Agriculture",134.08
Mongolia,"Employment in industry, % of total employment",20.9
Mongolia,"Informal employment by age (thousands), 15 and above",543.21
Mongolia,Percent of firms formally registered when they started operations in the country,90.1
Mongolia,"Share of Informal employment by age (%), 15-24",49.7
Mongolia,"Share of Informal employment by sex and economic activity (%), Male, Non-agriculture",29.6
Mongolia,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",-156.48
Mongolia,Refugees and IDPs Score,2.6
Mongolia,"Access to electricity, rural (% of rural population)",94.6
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Female, 15 and above",351.48
Mongolia,"Share of Informal employment by status in employment (%), Not classified",100.0
Mongolia,Human Flight and Brain Drain Score,4.3
Mongolia,"Informal employment by sex and age (thousands), Female, 15-64",221.85
Mongolia,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",45.2
Mongolia,"Informal employment by sex and status in employment (thousands), Female, Self-employed",178.73
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-24",53.97
Mongolia,"Gross Domestic Product (GDP) per capita, percent change",3.04
Mongolia,"Share of Informal employment by sex and age (%), Female, 25 and above",40.0
Mongolia,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",-2.13
Mongolia,Government net lending/borrowing as percent of GDP,-3.1
Mongolia,Property Rights,48.8
Mongolia,Planetary pressures adjusted Human Development Index,0.62
Mongolia,"Share of Informal employment by status in employment (%), Employees",14.9
Mongolia,"Unemployed Receiving Unemployment Benefits, percent",28.8
Mongolia,"Share of Employment outside the Formal Sector by status in employment (%), Employees",39.8
Mongolia,"Employed Covered in the Event of Work Injury, percent",76.0
Mongolia,Access to electricity (% of population),98.1
Mongolia,"Proportion of population above statutory pensionable age receiving a pension, female",100.0
Mongolia,Percentage of secondary schools with access to the internet,91.22
Mongolia,"Share of Informal employment by sex and age (%), Male, 15 and above",48.2
Mongolia,"Proportion of population above statutory pensionable age receiving a pension, total",100.0
Mongolia,Share of Parliament Seats Held by Women,17.11
Mongolia,Extent of Monopoly on Use of Force,10.0
Mongolia,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",0.2
Mongolia,"Informal employment by sex and age (thousands), Male, 25 and above",278.06
Mongolia,"Share of Informal employment by sex and status in employment (%), Female, Employees",12.0
Mongolia,Social Inclusion and Equity Index,3.8
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Female, 25 and above",62.4
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Female, 25 and above",333.56
Mongolia,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",22.1
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Self-employed",85.8
Mongolia,"Access to internet, percent of population",81.61
Mongolia,"Greenhouse Gas (GHG) emissions, MtCO2e",76.38
Mongolia,"Population covered by at least one social protection benefit, total",100.0
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-64",343.56
Mongolia,Consumption of controlled substance (zero-filled) - Chemical: Total,0.18
Mongolia,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",0.01
Mongolia,"Mothers with newborns receiving maternity benefits, Females",100.0
Mongolia,"Unemployment rate, pre-COVID-19 baseline",5.31
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Self-employed",417.27
Mongolia,Government Integrity,34.8
Mongolia,Labor Freedom,67.5
Mongolia,Financial Freedom,50.0
Mongolia,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Agriculture",97.6
Mongolia,"Informal Employment in Non-Agriculture Employment, percent",25.8
Mongolia,CSO participatory environment,0.22
Mongolia,"Informal employment by sex and economic activity (thousands), Total, Non-agriculture",234.08
Mongolia,"Share of Informal employment by sex and age (%), Female, 15 and above",39.9
Mongolia,Multidimensional Poverty Intensity,39.3
Mongolia,Gender Inequality Index,0.3
Mongolia,"Government Effectiveness Index, percentile rank",34.62
Mongolia,"Informal employment by sex and status in employment (thousands), Female, Not classified",9.66
Mongolia,"Labour Force Participation Rate, male",68.4
Mongolia,"Share of Informal employment by sex and age (%), Male, 15-24",57.3
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Female, Non-agriculture",217.4
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Employees",32.6
Mongolia,Share of female directors of new LLCs,36.38
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Male, Not classified",100.0
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15-24",43.1
Mongolia,Factionalized Elites Score,5.5
Mongolia,Refugee population by country or territory of asylum,10.0
Mongolia,Civil society index,0.73
Mongolia,"Employment outside the formal sector, percent of total employment",44.38
Mongolia,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Agriculture",96.0
Mongolia,Gross National Income Per Capita (2017 PPP$),10350.86
Mongolia,"Share of Employment outside the Formal Sector by sex and economic activity (%), Female, Non-agriculture",49.6
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Male, Non-agriculture",192.59
Mongolia,"Informal employment by sex and age (thousands), Male, 15-64",303.41
Mongolia,Structural Policies Index,3.17
Mongolia,"Share of Informal employment by sex (%), Female",39.9
Mongolia,"Population ages 65 and above, % of total population",4.61
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Employees",117.57
Mongolia,"Informal employment by sex and status in employment (thousands), Total, Employees",105.14
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Self-employed",238.83
Mongolia,"Share of Informal employment by sex and economic activity (%), Female, Non-agriculture",21.8
Mongolia,"Share of Employment outside the Formal Sector by status in employment (%), Not classified",100.0
Mongolia,"Population, total",3493629.0
Mongolia,"Share of Employment outside the Formal Sector by sex (%), Female",61.0
Mongolia,"Share of Employment outside the Formal Sector by age (%), 15-24",52.3
Mongolia,Climate Risk Index Ranking,48.0
Mongolia,Economic Inequality Score,51.6
Mongolia,"Share of Informal employment by economic activity (%), Agriculture",96.8
Mongolia,"Poor Persons Covered by Social Protection Systems, percent",100.0
Mongolia,"Access to water services, percent of population",39.28
Mongolia,"Informal employment by sex and status in employment (thousands), Male, Self-employed",238.83
Mongolia,"Rural Population, total",1055872.0
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Self-employed",80.6
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-24",36.05
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Female, Employees",163.37
Mongolia,"Human Development Index, male",0.73
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Non-agriculture",410.0
Mongolia,"Planetary pressures adjusted Human Development Index, differnece from non-adjusted HDI value",16.46
Mongolia,Investment Freedom,50.0
Mongolia,"Share of Informal employment by sex and status in employment (%), Male, Not classified",100.0
Mongolia,"Informal employment by sex and age (thousands), Female, 15-24",16.0
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Total, Not classified",20.52
Mongolia,"Employment in agriculture, % of total employment",24.29
Mongolia,Percent of firms choosing practices of the informal sector as their biggest obstacle,4.2
Mongolia,Share of female business owners of new LLCs,39.04
Mongolia,"Employment outside the Formal Sector by sex and economic activity (thousands), Total, Agriculture",308.73
Mongolia,"Informal employment by sex and status in employment (thousands), Male, Not classified",10.85
Mongolia,Government Effectiveness Index,-0.47
Mongolia,"Informal employment by age (thousands), 15-64",525.26
Mongolia,"Informal employment by sex and economic activity (thousands), Female, Non-agriculture",95.67
Mongolia,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-90.93
Mongolia,Share of female sole proprietors,39.48
Mongolia,"Informal employment by sex (thousands), Male",313.36
Mongolia,"Inflation, percent change pre-COVID-19 baseline",7.11
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Total, 25 and above",664.76
Mongolia,Fragile States Index,57.49
Mongolia,Youth Unemployment (% of total labor force ages 15-24),19.37
Mongolia,Access to clean fuels and technologies for cooking (% of population),51.8
Mongolia,"Employment outside the Formal Sector by sex (thousands), Male",367.25
Mongolia,"Gross Domestic Product (GDP), percent change",5.0
Mongolia,"Share of Employment outside the Formal Sector by age (%), 15 and above",58.6
Mongolia,Forest area (% of land area),9.1
Mongolia,"Informal employment by sex and age (thousands), Male, 15 and above",313.36
Mongolia,Unemployment rate,5.0
Mongolia,"Vulnerable Persons Covered by Social Assistance, percent",88.5
Mongolia,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.18
Mongolia,Adequacy of social safety net programs (percentage of total welfare of beneficiary households),6.52
Mongolia,Climate Change Readiness Score,0.46
Mongolia,"Employment outside the Formal Sector by sex (thousands), Total",718.73
Mongolia,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",12.96
Mongolia,"Share of Employment outside the Formal Sector by sex and status in employment (%), Female, Not classified",100.0
Mongolia,"Share of Informal employment by economic activity (%), Non-agriculture",25.8
Mongolia,"Share of Employment outside the Formal Sector by status in employment (%), Self-employed",83.5
Mongolia,"Share of Informal employment by sex and status in employment (%), Female, Not classified",100.0
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Male, 15 and above",367.25
Mongolia,"Share of Informal employment by status in employment (%), Self-employed",83.5
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Female, 15-24",17.92
Mongolia,"Informal employment by sex (thousands), Female",229.86
Mongolia,"Share of Employment outside the Formal Sector by age (%), 25 and above",59.2
Mongolia,"Urban Population, total",2342494.0
Mongolia,Business Freedom,68.0
Mongolia,Share of Parliament Seats Held by Men,82.89
Mongolia,Tax Burden,84.0
Mongolia,"Population living in slums, % of urban population",17.88
Mongolia,"Informal employment by sex (thousands), Total",543.21
Mongolia,"Share of Informal employment by sex (%), Male",48.2
Mongolia,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",2.4
Mongolia,"Share of Informal employment by sex and status in employment (%), Female, Self-employed",80.7
Mongolia,"Carbon dioxide emissions production per capita, tonnes",11.43
Mongolia,Security Apparatus Score,2.6
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15-24",58.5
Mongolia,"Share of Employment outside the Formal Sector by sex (%), Total",58.6
Mongolia,"Gross National Income Per Capita, female (2017 PPP$)",8099.01
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Male, 25 and above",331.2
Mongolia,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",19332.53
Mongolia,"Inflation, percent change",6.5
Mongolia,"Children/Households Receiving Child/Family Cash Benefits, percent",85.0
Mongolia,"Informal employment by sex and age (thousands), Male, 15-24",35.3
Mongolia,Proportion of Labour Force with Advanced Education,67.55
Mongolia,"Share of Employment outside the Formal Sector by sex (%), Male",56.5
Mongolia,"COVID-19 IFI financial response packages, USD",99000000.0
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Male, 15 and above",56.5
Mongolia,"Forest Area with a Long-Term Management Plan, percentage of total forest area",99.96
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Total, 15-64",701.16
Mongolia,Government Spending,62.0
Mongolia,Monetary Freedom,67.9
Mongolia,Judicial Effectiveness,55.0
Mongolia,Gini Index,32.7
Mongolia,Household air pollution from solid fuels,0.43
Mongolia,"Informal employment by sex and economic activity (thousands), Total, Agriculture",309.13
Mongolia,"Share of Informal employment by sex (%), Total",44.3
Mongolia,Fiscal Health,64.3
Mongolia,Voice and Accountability Index,0.32
Mongolia,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Mongolia,Multidimensional Poverty Incidence,9.9
Mongolia,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",5.0
Mongolia,"Share of Informal employment by sex and economic activity (%), Female, Agriculture",97.7
Mongolia,Trade Freedom,74.4
Mongolia,"Material footprint per capita, tonnes",25.31
Mongolia,Air pollution Deaths Attributed to Fossil Fuels,462.0
Mongolia,Human development index (HDI),0.741
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Male, 15-64",357.6
Mongolia,"Population Using at least Basic Sanitation Services, urban, percent",69.96
Mongolia,"Human Development Index, female",0.75
Mongolia,"Ores and metals exports, percent of merchandise exports",30.9
Mongolia,Coefficient of human inequality,12.87
Mongolia,"Share of Informal employment by sex and age (%), Female, 15-24",38.5
Mongolia,"Gross National Income Per Capita, male (2017 PPP$)",12639.58
Mongolia,"Share of Informal employment by sex and status in employment (%), Male, Employees",17.6
Mongolia,External Peace Score,5.1
Mongolia,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",2230053371.0
Mongolia,Mean household per capita out-of-pocket health spending ($ 2011 PPP),53.73
Mongolia,"Natural Capital, USD per capita",20642.0
Mongolia,"Gross Domestic Product per capita, purchasing power parity (current international USD)",14260.31
Mongolia,"Informal employment by sex and status in employment (thousands), Male, Employees",63.68
Mongolia,"Share of Employment outside the Formal Sector by sex and age (%), Female, 15 and above",61.0
Mongolia,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",1364934.97
Mongolia,"Employment outside the Formal Sector by sex and age (thousands), Total, 15 and above",718.73
Mongolia,Multidimensional Poverty Index,0.04
Mongolia,"Informal employment by sex and status in employment (thousands), Total, Not classified",20.52
Mongolia,"Informal employment by sex and status in employment (thousands), Total, Self-employed",417.56
Mongolia,"Renewable Internal Freshwater Resources per Capita, cubic meters",10563.59
Mongolia,"Population Using at least Basic Drinking-Water Services, rural, percent",59.74
Mongolia,"Chemicals Manufacturing, percent of value added",2.95
Mongolia,Inequality-adjusted Human Development Index,0.64
Mongolia,Number of years firm operated without formal registration,0.8
Mongolia,"Employment outside the Formal Sector by sex and status in employment (thousands), Male, Not classified",10.85
Mongolia,Public Sector Management and Institutions Index,3.3
Mongolia,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-61001.6
Mongolia,"Renewable energy consumption, percent of total final energy consumption",3.32
Mongolia,Proporiton of Adults Who Want Lower Immigration Levels,81.31
Mongolia,Rule of Law Index,-0.23
Mongolia,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,1.0
Mongolia,Government Response Stringency Index,10.91
Mongolia,Group Divisions in Society Score,2.4
Mongolia,Influence and Impact of External Actors in State Functioning,6.3
Mongolia,"Proportion of women subjected to physical and/or sexual violence in the last 12 months, % of women age 15-49",14.7
Mongolia,"Share of Informal employment by sex and economic activity (%), Male, Agriculture",96.1
Mongolia,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",9.0
Mongolia,LGBTQ+ Equality Index,39.0
Mongolia,"Access to electricity, urban (% of urban population)",99.7
Mongolia,Percent of firms competing against unregistered or informal firms,40.9
Mongolia,Climate Vulnerability Ranking,63.0
Mongolia,Climate Risks Index Score,59.17
Mongolia,"Share of Informal employment by sex and age (%), Male, 25 and above",47.2
Mongolia,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),100.0
Mongolia,Terrestrial protected areas (% of total land area),19.8
Mongolia,Ambient particulate matter pollution exposure,38.06
Montenegro,"Employment in industry, % of total employment",18.82
Montenegro,Business Freedom,70.1
Montenegro,"International Migrant Stock at Mid-Year, total",70999.0
Montenegro,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",144400.48
Montenegro,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",81526.65
Montenegro,Factionalized Elites Score,6.5
Montenegro,Government net lending/borrowing as percent of GDP,-6.46
Montenegro,"Labour Force Participation Rate, male",57.82
Montenegro,Multidimensional Poverty Incidence,1.2
Montenegro,"Proportion of population above statutory pensionable age receiving a pension, female",63.2
Montenegro,Fiscal Health,39.3
Montenegro,"Greenhouse Gas (GHG) emissions, MtCO2e",3.79
Montenegro,"Population covered by at least one social protection benefit, total",41.0
Montenegro,"Change in absolute number of people exposed to Floods - SSP3, RCP 8.5 (2050)",-22679.88
Montenegro,Forest area (% of land area),61.49
Montenegro,"Carbon dioxide emissions production per capita, tonnes",3.67
Montenegro,Migrant Acceptance Index,46.87
Montenegro,"Population Using at least Basic Drinking-Water Services, rural, percent",98.16
Montenegro,"Gross Domestic Product (GDP), percent change",3.0
Montenegro,"Forest Area within Legally Established Protected Areas, percentage of total forest area",10.15
Montenegro,Gini Index,36.8
Montenegro,"Gross National Income Per Capita, female (2017 PPP$)",17543.32
Montenegro,"Population ages 65 and above, % of total population",16.55
Montenegro,Terrestrial protected areas (% of total land area),13.85
Montenegro,"Ores and metals exports, percent of merchandise exports",30.75
Montenegro,Government Spending,32.4
Montenegro,Financial Freedom,50.0
Montenegro,Labor Freedom,62.6
Montenegro,Tax Burden,88.3
Montenegro,Access to clean fuels and technologies for cooking (% of population),62.4
Montenegro,"Proportion of population above statutory pensionable age receiving a pension, total",90.6
Montenegro,LGBTQ+ Equality Index,48.0
Montenegro,Human Flight and Brain Drain Score,4.9
Montenegro,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),1.64
Montenegro,Gender Development Index,0.98
Montenegro,"Gross Domestic Product per capita, purchasing power parity (current international USD)",27027.48
Montenegro,"Government Effectiveness Index, percentile rank",53.85
Montenegro,"Unemployed Receiving Unemployment Benefits, percent",29.3
Montenegro,"Inflation, percent change pre-COVID-19 baseline",1.92
Montenegro,"Change in poverty gap due to out-of-pocket health spending ($ 2011 PPP), $5.50 poverty line",0.01
Montenegro,Strength of legal rights index (0=weak to 12=strong),12.0
Montenegro,Share of Parliament Seats Held by Women,27.16
Montenegro,Score of adoption and implementation of national disaster risk reduction (DRR) strategies in line with the Sendai Framework,0.78
Montenegro,"Employment in services, % of total employment",73.83
Montenegro,Climate Change Readiness Ranking,67.0
Montenegro,Human development index (HDI),0.844
Montenegro,"Rule of Law Index, percentile rank",52.88
Montenegro,"Inequality-adjusted Human Development Index, difference from non-adjusted HDI value",10.43
Montenegro,External Peace Score,2.3
Montenegro,Percent of firms competing against unregistered or informal firms,54.7
Montenegro,Group Divisions in Society Score,9.2
Montenegro,"Labour Force Participation Rate, female",44.41
Montenegro,"Poverty headcount ratio at $3.65 a day (2017 PPP), % of population",3.7
Montenegro,"Mothers with newborns receiving maternity benefits, Females",100.0
Montenegro,Judicial Effectiveness,41.8
Montenegro,"Employment in agriculture, % of total employment",7.36
Montenegro,"Inflation, percent change",1.88
Montenegro,Refugees and IDPs Score,3.1
Montenegro,"Percent change in Gross Domestic Product, pre-COVID-19 baseline",2.93
Montenegro,"Access to internet, percent of population",88.22
Montenegro,"Human Development Index, female",0.83
Montenegro,Coverage of protected areas in relation to marine areas,35.56
Montenegro,"Human Development Index, male",0.85
Montenegro,Government Effectiveness Index,0.01
Montenegro,"Poverty headcount ratio at $6.85 a day (2017 PPP), % of population",12.2
Montenegro,Rule of Law Index,-0.06
Montenegro,Security Apparatus Score,4.3
Montenegro,Climate Change Readiness Score,0.47
Montenegro,"Population Using at least Basic Sanitation Services, urban, percent",97.81
Montenegro,Gross National Income Per Capita (2017 PPP$),22513.26
Montenegro,Percent of firms formally registered when they started operations in the country,99.3
Montenegro,Trade Freedom,78.8
Montenegro,Household air pollution from solid fuels,0.39
Montenegro,Climate Vulnerability Ranking,45.0
Montenegro,Economic Inequality Score,57.9
Montenegro,Gender Inequality Index,0.11
Montenegro,"Forest Area with a Long-Term Management Plan, percentage of total forest area",36.75
Montenegro,Proportion of local governments that adopt and implement local disaster risk reduction (DRR) strategies in line with national disaster risk reduction strategies (%),11.54
Montenegro,Property Rights,59.0
Montenegro,"Urban Population, total",420717.0
Montenegro,"Change in absolute number of people exposed to coastal floods - SSP3, RCP 8.5 (2050)",-29.52
Montenegro,"COVID-19 IFI financial response packages, USD",83700000.0
Montenegro,Investment Freedom,75.0
Montenegro,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",-37.33
Montenegro,"Population living in slums, % of urban population",8.8
Montenegro,"Proportion of population above statutory pensionable age receiving a pension, male",100.0
Montenegro,Voice and Accountability Index,0.17
Montenegro,"Access to water services, percent of population",85.12
Montenegro,"Gross Domestic Product (GDP) per capita, percent change",2.93
Montenegro,Inequality-adjusted Human Development Index,0.76
Montenegro,"Access to electricity, urban (% of urban population)",100.0
Montenegro,Coefficient of human inequality,10.07
Montenegro,Percent of firms choosing practices of the informal sector as their biggest obstacle,7.0
Montenegro,Consumption of controlled substance (zero-filled) - Chemical: Total,0.1
Montenegro,"Population, total",626102.0
Montenegro,Access to electricity (% of population),100.0
Montenegro,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",0.47
Montenegro,"Population Using at least Basic Drinking-Water Services, total, percent",98.86
Montenegro,Monetary Freedom,70.7
Montenegro,Medical Waste (tons per year),2331.4
Montenegro,"Chemicals Manufacturing, percent of value added",4.32
Montenegro,"Population Using at least Basic Drinking-Water Services, urban, percent",99.19
Montenegro,Ambient particulate matter pollution exposure,21.26
Montenegro,Proportion of Labour Force with Advanced Education,79.5
Montenegro,"Gross National Income Per Capita, male (2017 PPP$)",27749.88
Montenegro,Mean household per capita out-of-pocket health spending ($ 2011 PPP),231.61
Montenegro,Fragile States Index,53.14
Montenegro,Youth Unemployment (% of total labor force ages 15-24),28.26
Montenegro,"Total Government Fiscal Response during the COVID-19 Pandemic, USD",1743377483.0
Montenegro,Extent of Monopoly on Use of Force,10.0
Montenegro,CSO participatory environment,0.64
Montenegro,Multidimensional Poverty Intensity,39.6
Montenegro,Share of female sole proprietors,44.25
Montenegro,"Poverty headcount ratio at $2.15 a day (2017 PPP), % of population",2.0
Montenegro,"Internet users, total (% of population)",82.22
Montenegro,Share of Parliament Seats Held by Men,72.84
Montenegro,Civil society index,0.84
Montenegro,Government Integrity,48.9
Montenegro,Adequacy of social safety net programs (percentage of total welfare of beneficiary households),22.09
Montenegro,Persons with Severe Disabilities Collecting Disability Social Protection Benefits,100.0
Montenegro,"Rural Population, total",196496.0
Montenegro,Influence and Impact of External Actors in State Functioning,6.6
Montenegro,Emission levels associated with GHG target set by (I)NDCs,3.5
Montenegro,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),0.1
Montenegro,Refugee population by country or territory of asylum,32438.0
Montenegro,Proporiton of Adults Who Want Lower Immigration Levels,35.3
Montenegro,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",-37.52
Montenegro,Share of female business owners of new LLCs,36.95
Montenegro,Inequality in income,19.92
Montenegro,"Renewable energy consumption, percent of total final energy consumption",38.74
Montenegro,"Access to electricity, rural (% of rural population)",100.0
Montenegro,"Government Net Lending/Borrowing, percent of Gross Domestic Product, pre-COVID-19 baseline",0.45
Montserrat,"International Migrant Stock at Mid-Year, total",1379.0
Montserrat,"Forest Area within Legally Established Protected Areas, percentage of total forest area",46.4
Montserrat,"Climate Change-related change in death rates per 100,000 population (RCP4.5 SSP3)",0.54
Montserrat,"Population, total",4372.0
Montserrat,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",2.09
Montserrat,Percentage of secondary schools with access to the internet,100.0
Montserrat,Coverage of protected areas in relation to marine areas,9.0
Montserrat,Basic Waste Management Services in Non-hospital Healthcare Services,100.0
Montserrat,"Internet users, total (% of population)",54.55
Montserrat,Percentage of primary schools with access to the internet,50.0
Morocco,"International Migrant Stock at Mid-Year, total",102358.0
Morocco,"Change in absolute number of people exposed to malaria and dengue -SSP3, RCP 8.5 (2050)",156650.77
Morocco,Access to electricity (% of population),100.0
Morocco,Youth Unemployment (% of total labor force ages 15-24),24.94
Morocco,"Access to internet, percent of population",88.13
Morocco,Climate Risks Index Score,96.17
Morocco,"Human Development Index, female",0.63
Morocco,"Human Development Index, male",0.74
Morocco,Fragile States Index,31.88
Morocco,"Mean Daily CO2 Emissions Change associated with COVID-19, percent",-29.5
Morocco,"Climate Change-related change in death rates per 100,000 population (RCP8.5 SSP3)",3.99
Morocco,Rule of Law Index,-0.25
Morocco,Government Effectiveness Index,-0.07
Morocco,Civil society index,0.44
Morocco,"Change in absolute number of people exposed to drought - SSP3, RCP 8.5 (2050)",17694284.25
Morocco,Strength of legal rights index (0=weak to 12=strong),2.0
Morocco,Multidimensional Poverty Intensity,42.5
